Unnamed: 0,feature importance
2,0.5835822667149886
11,0.1234227780420433
8,0.0426776714298701
6,0.032897373099546
9,0.0226987880097938
21,0.0217882626461921
22,0.0157133356390118
14,0.0106330359739806
4,0.0098017647356206
5,0.0096711653163037
18,0.0080899729055397
0,0.0057748823305692
23,0.0057445181397729
3,0.0050148885549427
20,0.0048463225044222
26,0.0045089571917841
16,0.00364883730658
176,0.0033266787832612
19,0.0027287834130235
69,0.0025463870286723
1,0.0024274561732059
248,0.0024238940247477
129,0.0020303442605302
145,0.0019392565327319
217,0.0019265143481856
244,0.0018099452057155
161,0.0018026172435791
226,0.0017971659509701
178,0.0017222918016352
242,0.0017118525889411
42,0.0016029737990828
189,0.0015047296784293
122,0.0015033646188222
41,0.0014969293998881
187,0.0014509021669974
31,0.0013846229310086
216,0.0012298468403215
12,0.001155981481981
224,0.0011001764449169
15,0.0010727288241796
252,0.0010719677723126
163,0.0010229104939063
227,0.0010228805970042
146,0.0009700124509048
239,0.0009205289428779
271,0.0009180638659202
24,0.0008713214013648
61,0.0008279896409958
30,0.0007978313303929
50,0.0007977682727365
164,0.0007701995296483
17,0.0007685438331545
60,0.0007567171560089
258,0.0007418771176076
193,0.000739318922592
152,0.0007361358373613
250,0.0007227094578009
159,0.0007126713992281
136,0.0006519589868436
47,0.0006496623639319
135,0.000649520360196
106,0.0006477997416908
38,0.0006315445078997
289,0.0006209494142598
7,0.0006189310109512
251,0.000607697502997
81,0.0005947124997923
45,0.0005947111951483
112,0.0005757022216536
285,0.0005369725056124
76,0.0005126811756736
287,0.0004989387603418
110,0.0004814719501444
235,0.0004689207955669
157,0.0004472297845297
46,0.0004389254306603
179,0.0004329879182565
13,0.0004276974782648
39,0.0004261342308652
90,0.000424306542713
293,0.0004200341550894
51,0.0004180396712689
158,0.0004076337046631
186,0.0004029992631235
294,0.0003864356052004
92,0.0003820932056983
172,0.0003816799283484
43,0.0003774106007136
59,0.0003731385827355
241,0.0003534603020431
215,0.000344680678901
169,0.0003425302983578
70,0.000339598276657
211,0.0003380031513622
116,0.0003292243516214
273,0.0003260590898725
237,0.0003243767777214
52,0.0003227179633167
292,0.0003194063420079
126,0.0003104443056866
37,0.0002831164215087
191,0.0002821931087463
